order,company,recipient,subject,eml_path,attachment_path,source_draft_path
1,Eventador,info@eventadorsa.com,Application — Event Production / Site Operations — Abdullah Fageeh,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/exported_eml_drafts/01-eventador.eml,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/cv_pdf/Abdullah_Fageeh_CV_eventador.pdf,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/email_drafts/eventador.txt
2,CrewPro Events & Exhibition,info@crewpro.com,Application — Event Operations / Staffing Operations — Abdullah Fageeh,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/exported_eml_drafts/02-crewpro-events-exhibition.eml,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/cv_pdf/Abdullah_Fageeh_CV_crewpro-events-exhibition.pdf,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/email_drafts/crewpro-events-exhibition.txt
3,Eventa,info@eventa.com.sa,Application — Event Production / Site Operations — Abdullah Fageeh,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/exported_eml_drafts/03-eventa.eml,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/cv_pdf/Abdullah_Fageeh_CV_eventa.pdf,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/email_drafts/eventa.txt
4,Syncs Event Solutions,wecare@syncs.com.sa,Application — Technical Production / Event Operations — Abdullah Fageeh,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/exported_eml_drafts/04-syncs-event-solutions.eml,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/cv_pdf/Abdullah_Fageeh_CV_syncs-event-solutions.pdf,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/email_drafts/syncs-event-solutions.txt
5,Riyadh Exhibitions Company,info@recexpo.com,Application — Event Production / Site Operations — Abdullah Fageeh,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/exported_eml_drafts/05-riyadh-exhibitions-company.eml,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/cv_pdf/Abdullah_Fageeh_CV_riyadh-exhibitions-company.pdf,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/email_drafts/riyadh-exhibitions-company.txt
6,1st Arabia Tradeshows & Conferences,info@1starabia.sa,Application — Event Production / Site Operations — Abdullah Fageeh,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/exported_eml_drafts/06-1st-arabia-tradeshows-conferences.eml,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/cv_pdf/Abdullah_Fageeh_CV_1st-arabia-tradeshows-conferences.pdf,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/email_drafts/1st-arabia-tradeshows-conferences.txt
7,Al Sunaidi Expo,info@sunaidiexpo.com,Application — Event Production / Site Operations — Abdullah Fageeh,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/exported_eml_drafts/07-al-sunaidi-expo.eml,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/cv_pdf/Abdullah_Fageeh_CV_al-sunaidi-expo.pdf,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/email_drafts/al-sunaidi-expo.txt
8,BCC Logistics KSA,bccksa@bcclogistics.com,Application — Site Operations / Event Logistics — Abdullah Fageeh,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/exported_eml_drafts/08-bcc-logistics-ksa.eml,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/cv_pdf/Abdullah_Fageeh_CV_bcc-logistics-ksa.pdf,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/email_drafts/bcc-logistics-ksa.txt
9,Technical Lines,sales@tec-lines.com,Application — Technical Production / Event Operations — Abdullah Fageeh,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/exported_eml_drafts/09-technical-lines.eml,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/cv_pdf/Abdullah_Fageeh_CV_technical-lines.pdf,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/email_drafts/technical-lines.txt
10,OmniHub Event Services,info@omnihubsa.com,Application — Site Operations / Event Logistics — Abdullah Fageeh,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/exported_eml_drafts/10-omnihub-event-services.eml,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/cv_pdf/Abdullah_Fageeh_CV_omnihub-event-services.pdf,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/email_drafts/omnihub-event-services.txt
