company,email,subject,category,focus,attachment_pdf,attachment_html,email_draft_path,eml_path
Eventador,info@eventadorsa.com,Application — Event Production / Site Operations — Abdullah Fageeh,exhibitions_conferences,"event management, conferences, exhibitions, and organizer-side delivery",/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/cv_pdf/Abdullah_Fageeh_CV_eventador.pdf,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/cv_html/eventador.html,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/email_drafts/eventador.txt,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/exported_eml_drafts/01-eventador.eml
CrewPro Events & Exhibition,info@crewpro.com,Application — Event Operations / Staffing Operations — Abdullah Fageeh,staffing_ticketing,"event staffing, exhibition support crews, and event-day operations",/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/cv_pdf/Abdullah_Fageeh_CV_crewpro-events-exhibition.pdf,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/cv_html/crewpro-events-exhibition.html,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/email_drafts/crewpro-events-exhibition.txt,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/exported_eml_drafts/02-crewpro-events-exhibition.eml
Eventa,info@eventa.com.sa,Application — Event Production / Site Operations — Abdullah Fageeh,exhibitions_conferences,"event management, exhibitions, conferences, and full-cycle project delivery",/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/cv_pdf/Abdullah_Fageeh_CV_eventa.pdf,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/cv_html/eventa.html,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/email_drafts/eventa.txt,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/exported_eml_drafts/03-eventa.eml
Syncs Event Solutions,wecare@syncs.com.sa,Application — Technical Production / Event Operations — Abdullah Fageeh,production_services,"event solutions, technical production support, and end-to-end live delivery",/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/cv_pdf/Abdullah_Fageeh_CV_syncs-event-solutions.pdf,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/cv_html/syncs-event-solutions.html,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/email_drafts/syncs-event-solutions.txt,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/exported_eml_drafts/04-syncs-event-solutions.eml
Riyadh Exhibitions Company,info@recexpo.com,Application — Event Production / Site Operations — Abdullah Fageeh,exhibitions_conferences,"trade shows, large exhibitions, venue operations, and organizer-side delivery",/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/cv_pdf/Abdullah_Fageeh_CV_riyadh-exhibitions-company.pdf,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/cv_html/riyadh-exhibitions-company.html,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/email_drafts/riyadh-exhibitions-company.txt,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/exported_eml_drafts/05-riyadh-exhibitions-company.eml
1st Arabia Tradeshows & Conferences,info@1starabia.sa,Application — Event Production / Site Operations — Abdullah Fageeh,exhibitions_conferences,"tradeshows, conferences, exhibitor operations, and organizer-side execution",/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/cv_pdf/Abdullah_Fageeh_CV_1st-arabia-tradeshows-conferences.pdf,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/cv_html/1st-arabia-tradeshows-conferences.html,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/email_drafts/1st-arabia-tradeshows-conferences.txt,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/exported_eml_drafts/06-1st-arabia-tradeshows-conferences.eml
Al Sunaidi Expo,info@sunaidiexpo.com,Application — Event Production / Site Operations — Abdullah Fageeh,exhibitions_conferences,"expo services, exhibitions, booths, and conference delivery",/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/cv_pdf/Abdullah_Fageeh_CV_al-sunaidi-expo.pdf,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/cv_html/al-sunaidi-expo.html,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/email_drafts/al-sunaidi-expo.txt,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/exported_eml_drafts/07-al-sunaidi-expo.eml
BCC Logistics KSA,bccksa@bcclogistics.com,Application — Site Operations / Event Logistics — Abdullah Fageeh,event_logistics_support,"event logistics, freight coordination, delivery support, and site operations",/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/cv_pdf/Abdullah_Fageeh_CV_bcc-logistics-ksa.pdf,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/cv_html/bcc-logistics-ksa.html,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/email_drafts/bcc-logistics-ksa.txt,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/exported_eml_drafts/08-bcc-logistics-ksa.eml
Technical Lines,sales@tec-lines.com,Application — Technical Production / Event Operations — Abdullah Fageeh,production_services,"technical event support, production delivery, and field execution",/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/cv_pdf/Abdullah_Fageeh_CV_technical-lines.pdf,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/cv_html/technical-lines.html,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/email_drafts/technical-lines.txt,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/exported_eml_drafts/09-technical-lines.eml
OmniHub Event Services,info@omnihubsa.com,Application — Site Operations / Event Logistics — Abdullah Fageeh,event_logistics_support,"event services, operations support, logistics, and site coordination",/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/cv_pdf/Abdullah_Fageeh_CV_omnihub-event-services.pdf,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/cv_html/omnihub-event-services.html,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/email_drafts/omnihub-event-services.txt,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/exported_eml_drafts/10-omnihub-event-services.eml
The Touch Productions,info@thetouch.sa,Application — Technical Production / Event Operations — Abdullah Fageeh,production_services,"production services, live experiences, and event execution support",/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/cv_pdf/Abdullah_Fageeh_CV_the-touch-productions.pdf,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/cv_html/the-touch-productions.html,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/email_drafts/the-touch-productions.txt,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/exported_eml_drafts/11-the-touch-productions.eml
ProDesign,info@prodesign.com.sa,Application — Production / Experience Delivery — Abdullah Fageeh,experiential_activation,"design-build events, exhibition stands, and branded environment delivery",/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/cv_pdf/Abdullah_Fageeh_CV_prodesign.pdf,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/cv_html/prodesign.html,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/email_drafts/prodesign.txt,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/exported_eml_drafts/12-prodesign.eml
Prolines,info@prolines.sa,Application — Technical Production / Event Operations — Abdullah Fageeh,production_services,"event systems, production support, and installation delivery",/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/cv_pdf/Abdullah_Fageeh_CV_prolines.pdf,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/cv_html/prolines.html,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/email_drafts/prolines.txt,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/exported_eml_drafts/13-prolines.eml
MEEXPO,info@meexpo.sa,Application — Event Production / Site Operations — Abdullah Fageeh,exhibitions_conferences,"exhibitions, conferences, show management, and organizer-side operations",/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/cv_pdf/Abdullah_Fageeh_CV_meexpo.pdf,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/cv_html/meexpo.html,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/email_drafts/meexpo.txt,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/exported_eml_drafts/14-meexpo.eml
Stand Expo,reach@standexpo.com.sa,Application — Technical Production / Operations — Abdullah Fageeh,exhibitions_tech,"stand fabrication, booth delivery, and exhibition-site execution",/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/cv_pdf/Abdullah_Fageeh_CV_stand-expo.pdf,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/cv_html/stand-expo.html,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/email_drafts/stand-expo.txt,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/exported_eml_drafts/15-stand-expo.eml
